FUSSGAENGE,EINBAHN,RADSTREIFE,ONEWAY_FT,ONEWAY_TF,HOEHE_ANFA,HOEHE_ENDE,RADWEG,LOKALISATI,VELOWEGE_M,SHAPE_Leng,ID
1,0,0,0,0,406.08742106000,405.81188456000,BOTH,Platzpromenade 390,2,41.62231878680,1
1,0,0,0,0,435.60553500000,431.75877500000,BOTH,Andreasstrasse,1,114.58800171900,2
1,0,0,0,0,406.50272650000,406.07341500000,BOTH,Mattensteg,1,58.90499067240,3
1,FT,0,0,1,413.19778532000,413.21666881000,FT,Selnaustrasse Trottoir rechts,0,9.83246203200,4
1,0,0,0,0,409.06638788000,409.09189872000,BOTH,Mythen-Quai 65,1,15.44584539530,5
0,FT,0,0,1,398.04801700000,397.89975800000,FT,EuropabrÃ¼cke Trottoir rechts,1,19.27200312910,6
1,TF,0,1,0,399.26040039000,397.90204480000,TF,EuropabrÃ¼cke Trottoir links,1,74.42399783060,7
1,0,0,0,0,408.81498089000,406.75777100000,BOTH,Stadthausquai Trottoir rechts,0,63.14592993160,8
1,0,0,0,0,408.68765741000,408.57437260000,BOTH,Mythen-Quai 30,1,98.13099448920,9
1,0,0,0,0,408.41203500000,408.29979110000,FT,Alfred-Escher-Strasse Trottoir rechts,0,146.50393637000,10
0,0,0,0,0,403.48456125000,403.55476355000,BOTH,Zahnradstrasse,0,22.14508866520,11
1,0,0,0,0,408.32990833000,408.64802400000,BOTH,Usteristrasse Trottoir rechts,0,13.54303566820,12
0,TF,0,1,0,408.37016071000,408.39084100000,BOTH,Mythenquai Trottoir links,0,19.70038997340,13
1,TF,0,1,0,407.32500975000,407.31270112000,TF,Badenerstrasse Trottoir links,0,4.62868397975,14
1,0,0,0,0,413.64032900000,413.93040300000,FT,Manessestrasse Trottoir links,0,46.96376339450,15
1,0,0,0,0,443.21880700000,442.15784119000,BOTH,Kornamtsweg,1,175.03148057000,16
1,0,0,0,0,400.75726067000,400.47854725000,BOTH,Tram Hardhof / Bernerstrasse 10,1,36.92354641040,17
1,FT,0,0,1,426.79564517000,427.38204916000,FT,Thurgauerstrasse Trottoir rechts,0,46.22838289500,18
1,0,0,0,0,444.24672807000,444.25945267000,BOTH,Wehntalerstrasse Trottoir rechts,0,8.31557662389,19
1,0,0,0,0,398.38012162000,397.96683500000,BOTH,Meierwiesenstrasse Trottoir links,1,8.39401691072,20
0,0,0,0,0,428.33852659000,427.90497109000,BOTH,Andreasstrasse,1,14.72387988270,21
1,FT,0,0,1,430.46379000000,437.80222539000,FT,Kornhausstrasse Trottoir rechts,0,135.41827928500,22
1,0,0,0,0,434.75287075000,435.14729600000,BOTH,Am Katzenbach 130,1,512.57766019200,23
1,0,0,0,0,413.06209800000,419.51568350000,BOTH,Tunnelstrasse 15,1,274.52735532500,24
1,0,0,0,0,406.20577181000,407.09667625000,BOTH,Platzpromenade 30,2,27.58289547990,25
0,TF,0,1,0,454.55939443000,454.33610300000,TF,Wehntalerstrasse Trottoir links,0,15.65000803440,26
1,0,0,0,0,444.49514277000,444.30447629000,BOTH,Wehntalerstrasse Trottoir rechts,0,7.71905530092,27
0,TF,0,1,0,433.96616945000,433.79933690000,TF,Saatlenstrasse Trottoir links,0,5.35288150226,28
1,0,0,0,0,408.01261420000,409.14942233000,BOTH,Sihlstrasse Trottoir rechts,1,15.53507598720,29
0,TF,0,1,0,434.77962590000,434.82252140000,TF,Saatlenstrasse Trottoir links,0,7.70772441409,30
1,FT,0,0,1,427.18404582000,426.51613038000,FT,Thurgauerstrasse Trottoir rechts,0,145.59821025500,31
1,0,0,0,0,407.56045050000,407.04825160000,BOTH,Platzpromenade 447,2,16.99436192450,32
1,0,0,0,0,517.84346900000,515.90092750000,BOTH,Schafmattstrasse Trottoir rechts,0,27.35672324850,33
1,FT,0,0,1,451.54106235000,451.73638600000,FT,Freiestrasse Trottoir rechts,0,25.08751633620,34
0,0,0,0,0,410.39579337000,410.50104071000,BOTH,Gessnerallee Ãœberquerung 15,1,6.20673643995,35
0,0,0,0,0,428.11551017000,428.33852659000,BOTH,Andreasstrasse,1,14.52898015020,36
1,0,0,0,0,402.23779250000,399.68681308000,BOTH,Parkplatz Hardhof 15,0,40.67253748210,37
0,0,FT,0,0,452.63261250000,455.38984000000,FT,RÃ¶telstrasse,1,40.49415943530,38
1,0,0,0,0,518.83705100000,518.59504592000,BOTH,Schafmattstrasse Trottoir rechts,0,60.91043116170,39
1,0,0,0,0,427.15153177000,427.14874875000,BOTH,Am Katzenbach 5,1,153.64435820500,40
1,0,0,0,0,419.49136180000,420.80074455000,BOTH,Lessingstrasse,1,215.47689498400,41
1,0,0,0,0,440.71800500000,440.76994381000,BOTH,BÃ¤renbohlstrasse Ãœberquerung 20,0,6.36469458002,42
1,0,0,0,0,524.27374921000,527.77308757000,BOTH,Regensdorferstrasse 10,2,245.11873999800,43
0,FT,0,0,1,434.64410786000,434.63765891000,FT,Freiestrasse Trottoir rechts,0,15.87234580030,44
0,FT,0,0,1,428.56155750000,428.55873862000,FT,Thurgauerstrasse Trottoir rechts,0,20.96781286560,45
0,TF,0,1,0,406.05092375000,405.98379397000,TF,Hohlstrasse / DuttweilerbrÃ¼cke,0,21.28593801220,46
0,FT,0,0,1,406.73024000000,406.60325600000,TF,Radgasse,1,34.71873935160,47
1,0,0,0,0,410.71196724000,411.12237725000,BOTH,Park Letzigraben / Badenerstrasse / Brahmstrasse 190,0,48.21181137520,48
1,0,0,0,0,406.68640176000,407.03909732000,BOTH,Hardstrasse / HardbrÃ¼cke 20,0,157.91287750300,49
1,0,0,0,0,487.58797180000,488.40201312000,BOTH,Winterthurerstrasse 20,2,39.73344162280,50
1,0,0,0,0,453.00474425000,454.57835650000,BOTH,Hauriweg,0,135.49709996000,51
1,0,0,0,0,408.58505620000,409.25464612000,BOTH,ZÃ¼richhorn 280,1,26.97971514140,52
1,TF,0,1,0,407.94520614000,407.82520958000,TF,Badenerstrasse Trottoir links,0,5.01929892721,53
1,TF,0,1,0,407.77067044000,407.88145817000,TF,Badenerstrasse Trottoir links,0,44.73373431190,54
1,0,0,0,0,443.10014207000,443.02628770000,BOTH,Wehntalerstrasse Trottoir rechts,0,9.70364878976,55
0,0,0,0,0,408.31301125000,408.45699333000,BOTH,Beatenplatz,1,50.91149808140,56
1,FT,0,0,1,413.90172670000,413.89708685000,FT,Schlossgasse Ãœberquerung 20,0,11.83168518280,57
1,0,0,0,0,407.81935733000,407.77910888000,BOTH,General-Guisan-Quai Trottoir links,1,117.06247891500,58
1,FT,0,0,1,583.69868935000,585.46475925000,FT,Birmensdorferstrasse Trottoir rechts,0,118.80259421100,59
1,FT,0,0,1,407.64274244000,407.71770600000,FT,Badenerstrasse Trottoir rechts,0,15.90033553030,60
1,0,0,0,0,450.60907300000,458.75240333000,BOTH,Frankentalerstrasse Trottoir links,1,97.12146459590,61
1,0,0,0,0,397.95921250000,397.39792485000,BOTH,Fischerweg,2,123.68733166800,62
1,0,0,0,0,396.36437950000,398.96594925000,BOTH,Werdinsel-BrÃ¼cke 30,1,113.88155071900,63
1,0,0,0,0,398.57318617000,398.64211321000,BOTH,Bernerstrasse Nord Trottoir rechts,1,26.13011969330,64
1,0,0,0,0,438.86007788000,448.37937500000,BOTH,BÃ¼siseeweg 30,1,341.50219421500,65
1,FT,0,0,1,413.05497048000,413.03695893000,FT,Weststrasse Ãœberquerung 70,0,5.83152027189,66
0,TF,0,1,0,395.41553372000,395.57044100000,TF,Bernerstrasse Trottoir links,0,6.96094580095,67
0,0,0,0,0,401.85243017000,402.44787868000,BOTH,Technoparkstrasse,1,19.90058067980,68
1,0,0,0,0,403.77222707000,403.80095212000,BOTH,Viaduktstrasse,1,93.78500014560,69
1,FT,0,0,1,423.10319890000,424.58146225000,FT,Rousseaustrasse Trottoir rechts,0,35.20253247490,70
1,FT,0,0,1,407.16352970000,407.42585068000,FT,Herdernstrasse Trottoir links,0,32.93961461210,71
1,0,0,0,0,408.40671273000,408.10374183000,BOTH,Tram Gessnerallee Trottoir rechts,0,66.55980433160,72
1,0,0,0,0,411.55959150000,412.12603800000,BOTH,Sihlpromenade 20,1,51.03159986230,73
1,FT,0,0,1,432.54161269000,432.65208844000,FT,Freiestrasse Trottoir rechts,0,8.52269825278,74
1,0,0,0,0,417.71695900000,417.96697462000,BOTH,Sihlpromenade 70,2,228.34155689200,75
0,0,0,0,0,470.02688539000,469.05160000000,BOTH,Hesenlooweg,0,21.32890446610,76
1,0,0,0,0,470.21722704000,469.64931400000,BOTH,Gemeinschaftszentrum Buchegg 40,0,41.64366135500,77
0,0,0,0,0,455.99164929000,455.85386283000,BOTH,Bachmannweg 5,1,13.41980402900,78
1,TF,0,1,0,408.81498089000,408.40404400000,TF,QuaibrÃ¼cke Trottoir links,0,169.91192033700,79
0,FT,0,0,1,408.94510648000,408.91327502000,FT,Mythenquai Trottoir rechts,0,99.53817396550,80
1,0,0,0,0,407.43146015000,407.75134454000,BOTH,Mythenquai Trottoir links,1,92.13958508660,81
1,0,0,0,0,399.19292700000,396.01096275000,BOTH,Fischerweg,2,602.72264448900,82
1,0,0,0,0,402.63695250000,402.47746500000,BOTH,AmpÃ¨resteg,1,83.63145431870,83
1,0,0,0,0,438.06786450000,447.28964100000,BOTH,BÃ¤renbohlstrasse 10,1,367.17531960000,84
1,FT,0,0,1,422.04252042000,422.05894530000,FT,Bahnhof Brunau Trottoir links,1,26.82073071950,85
1,0,0,0,0,407.68721646000,408.04760667000,BOTH,Rentenwiese,1,73.52342156230,86
0,0,0,0,0,408.49217643000,408.45699333000,BOTH,Beatenplatz,1,6.03765626702,87
0,0,0,0,0,407.63268430000,407.72003389000,FT,Bellerivestrasse,1,56.02529682510,88
1,0,0,0,0,437.97185667000,437.57074250000,BOTH,BÃ¼siseeweg,1,321.73402297200,89
0,0,0,0,0,408.10374183000,407.96846879000,BOTH,Tram Gessnerallee Trottoir rechts,0,7.96826425587,90
0,TF,0,1,0,429.00275875000,429.18881443000,TF,Nordstrasse / Laurenzgasse  10,0,5.84032785657,91
1,0,0,0,0,408.01191100000,407.69989883000,BOTH,General-Guisan-Quai Trottoir links,1,83.55704878970,92
1,0,0,0,0,425.93750075000,425.99481620000,BOTH,Ueberlandstrasse Ãœberquerung 110,1,13.63446439270,93
0,FT,0,0,1,472.08470533000,471.85882452000,FT,Bucheggstrasse Trottoir links,0,10.95796338560,94
0,0,0,0,0,574.22259250000,581.82582563000,TF,Birmensdorferstrasse,3,149.30394402000,95
1,FT,0,0,1,439.86596986000,439.89104793000,FT,Kornhausstrasse Trottoir rechts,0,6.68798512423,96
1,0,0,0,0,457.68060553000,456.69870225000,BOTH,Kunzweg 10,0,38.89555175490,97
1,0,0,0,0,406.04834750000,406.05145769000,BOTH,Seefeldquai Seepromenade 50,1,68.89080874930,98
1,0,0,0,0,432.49139663000,434.01397353000,BOTH,Am Katzenbach,0,151.26878519500,99
1,0,0,0,0,481.49259076000,481.47150897000,BOTH,Winterthurerstrasse 70,0,7.35549124256,100
1,FT,0,0,1,455.17388500000,455.13958525000,FT,Weinbergstrasse Trottoir rechts,0,6.27250741845,101
0,TF,0,1,0,408.31664219000,407.06825300000,TF,Bahnhofplatz / Bahnhofquai 10,0,110.35663015800,102
1,0,0,0,0,409.05261905000,409.09408756000,BOTH,Mythen-Quai 50,1,77.71385181180,103
0,FT,0,0,1,479.83375500000,478.46626471000,FT,Schaffhauserstrasse Trottoir rechts,0,25.65893916050,104
1,0,0,0,0,519.32579717000,517.53080800000,BOTH,Emil-KlÃ¶ti-Strasse (Rad- und Fussweg) 20,1,181.98273299800,105
0,0,0,0,0,434.35752087000,434.42213000000,BOTH,Am Katzenbach,1,4.77116499373,106
1,0,0,0,0,407.49183650000,407.68539071000,BOTH,Seefeldquai Seepromenade 220,1,14.46243639710,107
